^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS5810
!dataset_title = Hypoxia effect on von Hippel Lindau-overexpressing renal cell carcinoma cells
!dataset_description = Analysis of renal cell carcinoma (RCC) 786-O cells transfected with von Hippel Lindau (VHL)-overexpression vector and cultured under hypoxia conditions (1% O2) for 24 hours. Results provide insight into overlap and differences of VHL- and hypoxia-dependent molecular alterations in RCC.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 25890500
!dataset_platform = GPL6244
!dataset_platform_organism = Homo sapiens
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 33297
!dataset_sample_organism = Homo sapiens
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 8
!dataset_value_type = transformed count
!dataset_reference_series = GSE65168
!dataset_order = none
!dataset_update_date = Jun 28 2016
^SUBSET = GDS5810_1
!subset_dataset_id = GDS5810
!subset_description = control
!subset_sample_id = GSM1588482,GSM1588486,GSM1588481,GSM1588485
!subset_type = protocol
^SUBSET = GDS5810_2
!subset_dataset_id = GDS5810
!subset_description = VHL transfection
!subset_sample_id = GSM1588484,GSM1588488,GSM1588483,GSM1588487
!subset_type = protocol
^SUBSET = GDS5810_3
!subset_dataset_id = GDS5810
!subset_description = normoxia
!subset_sample_id = GSM1588483,GSM1588487,GSM1588481,GSM1588485
!subset_type = stress
^SUBSET = GDS5810_4
!subset_dataset_id = GDS5810
!subset_description = hypoxia
!subset_sample_id = GSM1588482,GSM1588486,GSM1588484,GSM1588488
!subset_type = stress
^DATASET = GDS5810
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1588481 = Value for GSM1588481: 786-O biological replicate 1; src: renal cell carcinoma
#GSM1588485 = Value for GSM1588485: 786-O biological replicate 2; src: renal cell carcinoma
#GSM1588482 = Value for GSM1588482: 786-O Hypoxia biological replicate 1; src: renal cell carcinoma
#GSM1588486 = Value for GSM1588486: 786-O Hypoxia biological replicate 2; src: renal cell carcinoma
#GSM1588483 = Value for GSM1588483: 786-O VHL biological replicate 1; src: renal cell carcinoma
#GSM1588487 = Value for GSM1588487: 786-O VHL biological replicate 2; src: renal cell carcinoma
#GSM1588484 = Value for GSM1588484: 786-O VHL Hypoxia biological replicate 1; src: renal cell carcinoma
#GSM1588488 = Value for GSM1588488: 786-O VHL Hypoxia biological replicate 2; src: renal cell carcinoma
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1588481	GSM1588485	GSM1588482	GSM1588486	GSM1588483	GSM1588487	GSM1588484	GSM1588488
7896937	ATAD3C	7.38612	7.52083	7.00436	7.25942	7.40592	7.47651	7.45314	7.45691
7896952	ATAD3A	9.14721	9.28371	8.82622	8.98646	9.04712	9.28749	9.20566	9.14554
7896961	ATAD3C	8.67274	9.02435	8.33808	8.61909	8.67358	8.82997	8.83606	8.80337
7896983	SSU72	6.73002	6.7603	6.55237	6.72561	6.66337	6.73085	7.01751	6.78093
7896985	MIB2	7.38411	7.36104	7.22163	7.44536	7.40619	7.302	7.5808	7.54891
7897006	MMP23A	7.38189	7.4532	7.31478	7.34602	7.42807	7.31266	7.60128	7.40278
7897026	CALML6	6.56377	6.38777	6.40068	6.51905	6.43958	6.37597	6.67203	6.44108
7897034	GABRD	6.83581	6.88627	6.73917	6.72021	6.76607	6.79722	7.0394	6.90116
7897044	PRKCZ	7.27931	7.41914	7.07703	7.36832	6.74548	6.43807	6.84682	6.63475
7897066	FAAP20	6.6361	6.59854	6.52263	6.50608	6.57863	6.65377	6.87173	6.57538
7897068	SKI	9.18521	9.28472	9.07303	9.30815	9.44412	9.43889	9.78197	9.63062
7897076	MORN1	6.62655	6.6575	6.37578	6.67052	6.70509	6.54353	6.87071	6.6248
7897078	RER1	9.72185	9.7131	9.52288	9.71249	9.52944	9.75176	9.79332	9.80219
7897089	PLCH2	7.1308	7.1092	6.88448	7.04728	7.06834	7.04465	7.35165	7.12926
7897119	FAM213B	7.17182	7.39014	7.15657	7.31747	7.7611	7.8282	7.95745	7.89209
7897128	ACTRT2	6.79829	6.77019	6.64621	6.75992	6.70365	6.61839	6.89414	6.72589
7897132	PRDM16	6.66001	6.56813	6.45098	6.53168	6.49403	6.5742	6.72358	6.51836
7897154	ARHGEF16	6.729	6.83589	6.6208	6.89824	6.63351	6.63755	6.89894	6.73762
7897172	TPRG1L	8.56946	8.54682	8.5351	8.62312	8.31986	8.61419	8.7372	8.70392
7897179	TP73	6.87144	6.90584	6.6647	6.76165	6.78935	6.81883	7.00567	6.75634
7897196	CCDC27	6.54979	6.45221	6.3231	6.3544	6.43545	6.33182	6.54097	6.49256
7897210	DFFB	7.30383	7.19077	6.98262	7.21007	7.2811	7.33447	7.42812	7.28227
7897227	AJAP1	7.78719	6.90179	7.53225	6.75435	6.40669	6.30164	6.7851	6.45425
7897236	KCNAB2	7.54524	7.56106	7.51971	7.96385	7.50669	7.61991	7.88296	7.66291
7897257	RNF207	6.79395	6.83113	6.70556	6.84779	6.86392	6.96763	7.11894	7.0356
7897263	RNF207	7.11703	7.00427	6.8796	7.0539	6.99923	7.24976	7.35928	7.28613
7897277	LINC00337	6.5514	6.53356	6.49786	6.35832	6.63454	6.46106	6.89098	6.45795
7897280	HES3	7.123	7.09477	6.94082	7.08204	7.05364	7.13373	7.32291	7.19088
7897286	LOC100130071	6.93933	6.91768	6.77715	6.92792	6.85483	6.85483	7.14097	6.89472
7897288	ESPN	7.49928	7.55961	7.35887	7.52969	7.73556	7.43373	7.68834	7.4999
7897293	chr1:6600914-6600994	7.47948	7.42163	7.37442	7.32542	7.26739	7.35733	7.54706	7.36524
7897295	TAS1R1	6.62116	6.53709	6.3639	6.6171	6.67954	6.55197	6.79269	6.595
7897305	ZBTB48	6.81439	6.86685	6.62917	6.74511	6.84323	6.93943	7.02886	6.92531
7897322	PHF13	7.65498	7.97594	7.47219	7.75154	7.98609	7.99602	8.2311	8.04843
7897329	THAP3	6.99263	7.09901	6.80725	6.88885	7.01551	7.00779	7.10153	7.1051
7897339	CAMTA1	7.7184	7.71294	7.53466	7.82097	7.81739	7.8439	8.03664	7.80613
7897368	chr1:7279420-7279584	6.17353	6.18245	5.98734	6.08291	6.17193	6.18823	6.3983	6.01682
7897370	VAMP3	10.7213	10.7927	10.6656	10.6767	10.7244	10.8399	10.9435	10.906
7897378	PER3	8.10113	7.96206	7.6711	7.68032	8.63484	8.5896	8.65677	8.29918
7897404	PARK7	10.2046	10.3018	10.2023	10.2598	10.0975	10.2338	10.3942	10.2803
7897416	SLC45A1	6.58872	6.62854	6.45457	6.70504	6.57114	6.56242	6.71001	6.62591
7897422	chr1:8388127-8388237	6.37656	6.24275	6.02542	6.39743	6.21914	6.21133	6.36536	6.10236
7897424	chr1:8953568-8953840	6.32977	6.30657	6.29889	6.23239	6.1966	6.29846	6.47342	6.16851
7897426	CA6	6.12928	6.15889	6.06202	6.1859	6.05729	6.14554	6.29778	6.15309
7897439	chr1:9142755-9142938	6.53596	6.48517	6.19778	6.37052	6.53825	6.45899	6.57302	6.48936
7897441	H6PD	7.9485	8.06108	7.77295	8.10763	7.63582	7.87116	8.08215	8.18671
7897449	SPSB1	8.34154	8.0848	8.12003	8.21218	7.63876	8.0626	7.97554	8.25969
7897460	SLC25A33	5.90841	5.86826	5.66412	5.7761	5.9033	5.97864	5.99055	5.78657
7897469	TMEM201	7.44657	7.78647	7.23199	7.81742	7.812	7.9589	8.18951	8.09384
7897482	PIK3CD	7.88576	7.89485	7.85697	8.03372	7.41585	7.39302	8.07849	7.65134
7897509	NMNAT1	6.79793	6.70202	6.74915	7.12822	6.61812	6.76552	6.87322	6.81621
7897520	chr1:10007376-10007698	8.02106	8.04558	8.01262	7.98704	7.84291	8.04791	8.29777	8.11393
7897522	RBP7	5.96656	6.03643	5.83372	6.05444	6.00365	6.02545	6.20069	5.86916
7897527	UBE4B	8.72943	8.55325	8.57132	8.81086	8.99025	9.04035	9.23797	9.14435
7897559	chr1:10223326-10223432	5.82233	5.73874	5.51772	5.67243	5.60444	5.81253	5.88807	5.71789
7897561	KIF1B	8.44238	8.35343	8.17823	8.29822	7.97663	8.43446	8.31996	8.43149
7897620	PGD	11.1024	11.4859	10.8049	11.2956	10.9722	11.2548	11.1964	11.1544
7897632	APITD1-CORT	7.32858	7.26758	7.03895	7.26266	7.06891	7.07474	7.29418	7.15329
7897648	PEX14	8.2291	8.27669	7.7128	7.91962	8.33181	8.3963	8.19164	8.38803
7897661	chr1:10676893-10677172	7.53916	7.52021	7.46047	7.47812	7.40983	7.4527	7.78487	7.7254
7897663	TARDBP	9.80721	9.60015	9.24089	9.48723	9.59288	9.72471	9.8214	9.82358
7897675	ANGPTL7	5.9903	6.01287	5.86304	5.8876	5.85283	6.08833	6.17698	5.84813
7897683	chr1:11286311-11286417	5.62281	5.58418	5.47966	5.59147	5.58337	5.78849	5.72572	5.61165
7897685	UBIAD1	8.61593	8.98474	8.50072	8.58593	8.79722	8.78546	8.71922	8.61364
7897691	DISP3	6.64842	6.74251	6.44095	6.64576	6.58149	6.67651	6.78093	6.49273
7897714	FBXO44	6.9423	6.94831	6.6836	6.76466	6.79925	6.80841	6.96721	6.71944
7897728	FBXO6	6.94985	6.93235	6.66745	6.87036	6.68041	6.84549	7.00795	6.8627
7897737	DRAXIN	6.98317	6.94595	6.77462	6.94141	6.97417	6.93404	7.14313	6.98445
7897745	AGTRAP	7.61291	8.51093	7.48478	8.42056	8.81501	8.96084	9.1192	9.43894
7897753	C1orf167	6.62737	6.57419	6.40446	6.42435	6.52738	6.56174	6.83275	6.66471
7897774	CLCN6	8.22544	8.09077	8.11306	8.18321	7.77372	7.91581	8.01526	7.9139
7897801	RNU5E-1	11.7508	11.9009	11.5387	11.9259	11.7001	11.5764	11.7916	11.8831
7897803	PLOD1	10.1039	10.3098	10.0133	10.366	10.1375	10.0985	10.4561	10.4102
7897824	MFN2	9.85275	10.0247	9.52346	9.83569	9.83827	10.1359	10.0911	10.1648
7897849	MIIP	7.91975	7.91076	7.64905	7.9504	8.06322	8.07591	8.18101	8.22923
7897860	TNFRSF8	7.14575	6.98198	6.92455	6.90205	6.90876	6.8624	7.20491	7.05524
7897877	TNFRSF1B	6.53614	6.57715	6.28135	6.57969	6.60399	6.4022	6.7306	6.48253
7897890	VPS13D	8.00555	7.92478	7.86236	7.96706	7.75811	8.01636	7.99618	8.06042
7897953	SNORA59A	6.76818	6.76123	6.50369	6.59538	6.73028	6.81319	6.99056	6.87442
7897955	AADACL4	6.08552	5.9471	5.75683	5.96177	5.88831	6.10896	6.04071	5.7581
7897960	AADACL3	6.01154	6.21304	5.97266	6.02816	5.97808	6.03346	6.2034	5.87192
7897964	chr1:12799692-12799796	5.86125	5.85775	5.62192	5.63887	5.92743	5.95312	6.14618	5.57195
7897966	C1orf158	6.25518	6.16699	6.16892	5.9876	6.14638	6.16892	6.29593	6.16892
7897974	PRAMEF12	6.23272	6.16422	6.00966	6.09278	6.11813	6.22891	6.25016	6.06597
7897978	PRAMEF14	5.87754	5.78128	5.63265	5.78128	5.74981	5.8981	5.91164	5.67099
7897987	PRAMEF2	5.89794	5.96139	5.72885	5.72885	5.97882	5.94566	6.19005	5.76208
7897991	PRAMEF8	6.9568	6.84789	6.75819	6.80066	6.80088	6.75819	7.02237	6.92362
7897995	chr1:12982374-12982480	5.72733	5.69972	5.5501	5.70274	5.52763	5.78628	5.87444	5.67883
7897997	PRAMEF18	6.31682	6.23504	6.12184	6.12122	6.10635	6.12975	6.32909	6.08613
7898002	LOC101930169	6.32671	6.24553	6.15023	6.11989	6.01962	6.1586	6.2993	6.13113
7898007	LOC101930169	6.10447	6.02157	5.87703	5.95492	5.90465	6.02231	6.1061	5.95513
7898012	LOC101930169	6.07178	5.95032	5.81068	5.87613	5.83475	5.95045	6.06404	5.88018
7898020	PRAMEF34P	6.05008	6.00938	5.92104	5.96724	5.85814	6.11124	6.13254	5.95844
7898026	PRAMEF17	6.09276	6.00735	5.77423	6.005	5.92298	6.04858	6.1522	5.84723
7898030	PRAMEF20	6.54358	6.51962	6.40107	6.4194	6.44431	6.42909	6.58595	6.49265
7898034	PRAMEF34P	6.05008	6.00938	5.92104	5.96724	5.85814	6.11124	6.13254	5.95844
7898040	LOC101930169	6.07178	5.95032	5.81068	5.87613	5.83475	5.95045	6.06404	5.88018
7898048	PRAMEF17	6.18083	6.07595	5.84583	6.07595	5.95933	6.11809	6.18544	5.91303
7898052	PRAMEF15	6.43213	6.35705	6.28957	6.34848	6.35597	6.3292	6.48378	6.37185
7898057	PDPN	6.71838	6.43258	6.60257	6.32962	6.33909	6.30536	6.57496	6.29153
7898070	PRDM2	7.1922	7.30542	7.05678	7.2356	7.19774	7.37443	7.6424	7.33044
7898084	KAZN	7.55381	7.82686	7.24615	7.9985	7.93324	8.48283	8.18881	8.29862
7898102	KAZN	6.68363	6.66092	6.43798	6.69918	6.64962	6.72288	6.78025	6.63924
7898112	TMEM51-AS1	6.08918	5.98653	5.97824	6.00732	5.86936	6.12843	6.2166	5.95756
7898115	TMEM51	8.40036	8.28637	8.45222	8.3565	7.96962	8.18619	8.45968	8.51983
7898124	FHAD1	6.23848	6.21398	6.04676	6.23848	6.30164	6.24887	6.44525	6.2309
7898161	EFHD2	9.11362	9.16505	9.03061	9.13044	8.96252	9.16724	10.0578	10.2668
7898167	CTRC	6.58902	6.58982	6.29839	6.47912	6.39773	6.45851	6.67798	6.5037
7898176	CELA2A	6.20826	6.26428	5.97082	6.09413	6.19733	6.05806	6.32267	6.02679
7898184	CELA2B	6.46989	6.40816	6.26116	6.2977	6.4703	6.26116	6.71274	6.17064
7898192	DNAJC16	8.77974	8.89339	8.83413	9.05645	8.77442	9.11578	9.11131	9.10918
7898209	chr1:15931077-15931538	7.40671	7.45167	7.26538	7.52653	7.44199	7.24667	7.50002	7.55152
7898211	DDI2	8.51203	8.63883	8.5008	8.79022	8.50361	8.71239	8.92104	8.94674
7898227	PLEKHM2	9.3788	9.61606	9.09706	9.5641	9.29073	9.6017	9.56888	9.71614
7898249	SLC25A34	6.72573	6.71398	6.5966	6.78072	6.6292	6.62337	6.86936	6.70449
7898256	TMEM82	6.78457	6.95804	6.56028	6.82051	6.63973	6.61706	7.04698	6.78368
7898263	FBLIM1	6.24064	6.06609	5.9891	6.16225	6.13026	6.2115	6.35314	6.06453
7898276	chr1:16154724-16155167	10.6203	10.4841	10.4238	10.3222	10.4074	10.3113	10.521	10.4291
7898278	SPEN	8.82513	9.09791	8.83096	9.10132	8.75606	8.96953	9.13109	8.97611
7898294	chr1:16237392-16237490	5.6813	5.47103	5.31773	5.47224	5.40818	5.55748	5.53887	5.42915
7898296	C1orf64	6.41053	6.51085	6.23023	6.35419	6.45414	6.42007	6.6303	6.44386
7898300	CLCNKA	6.39769	6.44182	6.25377	6.30019	6.37162	6.30382	6.71232	6.22978
7898314	CLCNKB	6.31663	6.32605	6.25509	6.25174	6.31417	6.35497	6.49241	6.17122
7898328	SZRD1	9.82348	10.0549	9.76343	9.90251	10.0599	10.2314	10.56	10.4891
7898337	NECAP2	9.77533	9.73945	9.64306	9.71139	9.55318	9.84901	10.283	10.2493
7898350	LOC100132147	6.35115	6.38785	6.20201	6.24204	6.34958	6.33405	6.59716	6.33397
7898353	FAM231B	6.56986	6.29927	6.35174	6.16887	6.50285	6.40236	6.65732	6.30378
7898355	chr1:16879957-16880028	6.07833	5.71408	5.41452	5.81139	5.75652	5.85594	5.97881	5.884
7898357	LOC102724562	6.43792	6.49182	6.31701	6.47676	6.3773	6.42607	6.54596	6.41128
7898371	FAM231A	6.58709	6.55782	6.37337	6.39908	6.26169	6.5281	6.69233	6.51783
7898373	chr1:17052061-17052133	6.17485	6.08631	5.95341	5.9582	5.7932	6.06114	6.01524	5.90552
7898375	RNVU1-17	12.4252	12.9371	11.9506	12.8468	12.8271	12.2555	12.5408	12.593
7898377	CROCC	6.87577	6.80061	6.63528	6.75458	6.78188	6.7379	7.06831	6.81509
7898405	chr1:17186693-17186765	6.38237	6.02435	6.1335	6.10727	6.19218	6.78601	6.70417	6.74055
7898407	LOC100132147	5.99953	5.96435	5.7163	5.92443	5.96545	6.09359	6.234	6.05066
7898411	RNVU1-17	12.4252	12.9371	11.9506	12.8468	12.8271	12.2555	12.5408	12.593
7898413	PADI1	6.45654	6.41213	6.31525	6.42342	6.42601	6.46587	6.60362	6.31817
7898431	PADI3	6.63354	6.69849	6.4889	6.58968	6.65633	6.60193	6.8556	6.60577
7898448	PADI4	6.43926	6.32262	6.1167	6.2421	6.23289	6.30773	6.53966	6.24703
7898466	PADI6	6.26832	6.28717	5.9527	6.12143	6.21568	6.2056	6.39185	6.08668
7898483	ARHGEF10L	7.19747	7.18813	7.08306	7.19484	7.04912	7.22879	7.41133	7.32006
7898516	ACTL8	6.30886	6.34066	6.18392	6.36575	6.43692	6.32674	6.56579	6.17186
7898521	IGSF21	6.60158	6.53206	6.48969	6.56808	6.52851	6.4057	6.8895	6.52943
7898533	KLHDC7A	7.10107	7.06389	6.92166	7.11803	7.02315	6.99088	7.36064	7.11082
7898535	chr1:18839612-18839881	5.92463	5.71089	5.75927	5.72222	5.7711	5.99501	6.10055	6.0419
7898537	PAX7	6.54948	6.54989	6.41087	6.50766	6.49513	6.46459	6.85833	6.58871
7898549	MRTO4	9.23637	9.49117	8.83348	9.21342	9.0948	9.39984	9.56432	9.4425
7898556	PQLC2	7.93906	7.8271	7.70126	7.75826	7.8945	7.97584	8.23913	8.20392
7898568	LOC644083	5.92036	5.84451	5.68952	5.88073	5.7443	5.91417	5.97647	5.83439
7898570	chr1:19750878-19751093	9.69293	9.78869	9.53063	9.75907	9.38046	9.71925	10.2004	9.89828
7898572	chr1:19837086-19837225	5.67097	5.60027	5.45671	5.52692	5.49244	5.76827	5.66263	5.46141
7898574	MINOS1	8.8005	8.87461	8.74486	8.7516	8.90726	9.11559	9.32524	9.22498
7898582	RPS14P3	7.53666	7.49869	7.34866	7.45837	7.30689	7.6385	7.66572	7.61792
7898585	MINOS1-NBL1	8.39085	8.42524	8.41363	8.53703	8.09097	8.26725	8.63756	8.61566
7898594	HTR6	6.86141	6.80307	6.61612	6.66654	6.79717	6.82716	6.98543	6.86896
7898602	OTUD3	6.90082	7.006	6.59565	6.62048	7.05423	7.06693	7.24087	7.01679
7898607	chr1:20297463-20297762	6.86901	6.81046	6.69303	6.77221	6.70517	6.78143	7.02593	6.90446
7898609	PLA2G5	6.24733	6.23871	6.18527	6.10521	6.25037	6.27745	6.37649	6.22182
7898616	PLA2G2F	6.47983	6.57339	6.28774	6.41919	6.43011	6.46276	6.625	6.32315
7898623	UBXN10	6.16293	6.17498	5.93302	5.99402	5.98565	6.21459	6.36712	5.88612
7898627	VWA5B1	6.4883	6.52043	6.36926	6.30277	6.39167	6.53067	6.62865	6.35513
7898653	FAM43B	8.04145	8.00752	7.94852	8.02013	8.09	7.9708	8.20357	8.09363
7898655	CDA	6.90253	6.70881	6.6726	6.60122	6.58096	6.64702	7.17307	6.68286
7898663	PINK1	8.01614	7.68417	7.6684	7.59283	7.7149	7.51249	8.23696	8.02792
7898673	chr1:21724480-21724833	7.87663	8.0505	7.76237	7.85362	7.69531	7.77455	7.82375	7.8132
7898675	chr1:21740714-21740785	5.68691	5.67222	5.38255	5.61982	5.54441	5.6122	5.75622	5.54003
7898677	HS6ST1	7.92091	8.23069	7.78539	8.24438	8.56986	8.89934	8.8848	9.03012
7898679	NBPF3	7.1682	7.06791	7.07983	7.27106	7.22502	7.37591	7.52227	7.35577
7898693	ALPL	6.45405	6.49568	6.26712	6.31186	6.41783	6.3142	6.49471	6.28382
7898707	LDLRAD2	6.998	6.91198	6.63812	6.87714	6.86121	6.74906	7.09387	6.87995
7898713	CELA3B	6.72717	6.7136	6.6977	6.64568	6.65123	6.49955	6.83207	6.70028
7898721	chr1:22313974-22314270	6.39979	6.02476	5.88777	5.93592	5.79888	6.12227	6.04929	5.93507
7898723	chr1:22314309-22314408	6.31986	6.23478	6.02458	6.21881	6.1914	6.18982	6.26385	6.00821
7898725	CELA3A	6.76245	6.69984	6.58618	6.68491	6.58956	6.7688	7.00007	6.71753
7898732	chr1:22337143-22337439	6.18381	6.19439	5.86188	6.04505	6.23026	6.32193	6.06694	6.05237
7898734	chr1:22337478-22337588	5.81369	5.80593	5.58322	5.83289	5.7186	5.75489	5.85497	5.59979
7898736	LINC00339	7.14024	7.17512	7.02447	7.24114	7.12465	7.15098	7.31618	7.13795
7898739	CDC42	8.16935	8.21445	7.82798	7.95773	7.9278	7.97278	8.24984	8.07146
7898750	ZBTB40	7.67398	7.65373	7.48786	7.77744	7.72038	7.61685	7.83886	7.73731
7898773	EPHA8	6.68318	6.57109	6.49777	6.59997	6.54157	6.56987	6.77273	6.65953
7898793	C1QA	6.16844	6.07343	5.84517	5.94911	6.01023	6.09105	6.28461	6.06695
7898799	C1QC	6.35094	6.39473	6.26345	6.34094	6.40933	6.30662	6.48352	6.25301
7898805	C1QB	6.26769	6.14091	6.09261	6.2412	6.1843	6.26131	6.45969	6.22837
7898809	EPHB2	9.59884	9.57905	9.22961	9.58984	8.49299	7.94624	8.73132	7.90087
7898833	KDM1A	9.29464	9.51538	9.00851	9.27904	9.34806	9.50931	9.52587	9.59994
7898854	chr1:23489196-23489303	5.73337	5.64513	5.4265	5.68698	5.56344	5.67873	5.77036	5.59952
7898856	chr1:23490446-23490530	7.04333	6.95511	6.88448	6.92772	6.76061	6.85488	7.08717	6.67081
7898858	ZNF436-AS1	6.48486	6.40394	6.31002	6.38964	6.47825	6.49108	6.62099	6.67123
7898869	MDS2	6.48671	6.50867	6.29984	6.42519	6.47667	6.51057	6.51057	6.39305
7898875	RPL11	11.3119	11.4008	11.207	11.5522	11.3949	11.3706	11.5239	11.6116
7898881	TCEB3	9.17466	9.26489	8.93365	9.13376	8.7795	9.02179	8.95611	9.02137
7898894	PITHD1	8.27122	8.58574	8.10901	8.51076	8.18181	8.4042	8.46942	8.24422
